wavelength_micron,normalized_flux,err_normalized_flux
2.2875956,9.346090e-01,7.731000e-03
2.2876082,9.315890e-01,1.154400e-02
2.2876207,9.012980e-01,1.074100e-02
2.2876333,8.937910e-01,9.633000e-03
2.2876459,9.004710e-01,9.150000e-03
2.2876584,8.911740e-01,7.324000e-03
2.2876710,9.000970e-01,1.192700e-02
2.2876835,8.996720e-01,9.802000e-03
2.2876961,9.157830e-01,1.445000e-02
2.2877087,9.506110e-01,1.187700e-02
2.2877212,9.744130e-01,1.064400e-02
2.2877338,9.843490e-01,1.463900e-02
2.2877463,9.898580e-01,1.107500e-02
2.2877589,1.000920e+00,8.414000e-03
2.2877714,1.018029e+00,1.089600e-02
2.2877840,1.017698e+00,8.741000e-03
2.2877966,1.003640e+00,9.268000e-03
2.2878091,1.019689e+00,9.046000e-03
2.2878217,1.023035e+00,6.164000e-03
2.2878342,1.014416e+00,9.082000e-03
2.2878468,1.019102e+00,9.218000e-03
2.2878593,1.022455e+00,6.231000e-03
2.2878719,1.023540e+00,1.141400e-02
2.2878844,1.050191e+00,1.224100e-02
2.2878970,1.049448e+00,7.182000e-03
2.2879095,1.038964e+00,8.315000e-03
2.2879221,1.009229e+00,1.229700e-02
2.2879346,1.043331e+00,1.174500e-02
2.2879472,1.039828e+00,7.991000e-03
2.2879597,1.052332e+00,1.010900e-02
2.2879723,1.018440e+00,6.990000e-03
2.2879849,1.028970e+00,1.144900e-02
2.2879974,1.039710e+00,1.047500e-02
2.2880100,1.041698e+00,1.378600e-02
2.2880225,1.054346e+00,8.939000e-03
2.2880351,1.061140e+00,8.007000e-03
2.2880476,1.048692e+00,6.477000e-03
2.2880602,1.068129e+00,9.615000e-03
2.2880727,1.060712e+00,5.035000e-03
2.2880852,1.057751e+00,8.913000e-03
2.2880978,1.062135e+00,1.027100e-02
2.2881103,1.048002e+00,4.946000e-03
2.2881229,1.047846e+00,5.800000e-03
2.2881354,1.049071e+00,1.002300e-02
2.2881480,1.040315e+00,9.728000e-03
2.2881605,1.047148e+00,6.461000e-03
2.2881731,1.045858e+00,6.955000e-03
2.2881856,1.058473e+00,9.208000e-03
2.2881982,1.047904e+00,1.038200e-02
2.2882107,1.058040e+00,1.165400e-02
2.2882233,1.054724e+00,1.100400e-02
2.2882358,1.050686e+00,8.972000e-03
2.2882484,1.036909e+00,1.118800e-02
2.2882609,1.054379e+00,1.100800e-02
2.2882734,1.054944e+00,1.074800e-02
2.2882860,1.045909e+00,8.122000e-03
2.2882985,1.065107e+00,1.015200e-02
2.2883111,1.042696e+00,5.972000e-03
2.2883236,1.037878e+00,9.934000e-03
2.2883362,1.063528e+00,5.874000e-03
2.2883487,1.057913e+00,8.587000e-03
2.2883612,1.054528e+00,8.695000e-03
2.2883738,1.053362e+00,7.426000e-03
2.2883863,1.058078e+00,5.855000e-03
2.2883989,1.066194e+00,5.794000e-03
2.2884114,1.063637e+00,7.513000e-03
2.2884239,1.063479e+00,9.193000e-03
2.2884365,1.071603e+00,1.270300e-02
2.2884490,1.059962e+00,7.225000e-03
2.2884616,1.070636e+00,9.870000e-03
2.2884741,1.062967e+00,1.007900e-02
2.2884866,1.065089e+00,1.091900e-02
2.2884992,1.051246e+00,9.476000e-03
2.2885117,1.055080e+00,5.596000e-03
2.2885243,1.051042e+00,6.318000e-03
2.2885368,1.054688e+00,4.557000e-03
2.2885493,1.065472e+00,9.682000e-03
2.2885619,1.056630e+00,9.703000e-03
2.2885744,1.050122e+00,6.096000e-03
2.2885869,1.057666e+00,5.910000e-03
2.2885995,1.058301e+00,8.408000e-03
2.2886120,1.063955e+00,6.947000e-03
2.2886246,1.046377e+00,7.377000e-03
2.2886371,1.060581e+00,6.298000e-03
2.2886496,1.041708e+00,7.559000e-03
2.2886622,1.049277e+00,6.540000e-03
2.2886747,1.055246e+00,7.207000e-03
2.2886872,1.048554e+00,8.568000e-03
2.2886998,1.031303e+00,8.711000e-03
2.2887123,1.042947e+00,5.828000e-03
2.2887248,1.036853e+00,8.288000e-03
2.2887374,1.022467e+00,6.888000e-03
2.2887499,1.004452e+00,6.549000e-03
2.2887624,9.963200e-01,6.970000e-03
2.2887750,9.763270e-01,7.359000e-03
2.2887875,9.651490e-01,7.128000e-03
2.2888000,9.791230e-01,6.214000e-03
2.2888126,9.807820e-01,7.398000e-03
2.2888251,9.732880e-01,9.998000e-03
2.2888376,9.634050e-01,5.280000e-03
2.2888501,9.580190e-01,7.005000e-03
2.2888627,9.672010e-01,7.175000e-03
2.2888752,9.682510e-01,8.483000e-03
2.2888877,9.713100e-01,1.048900e-02
2.2889003,9.775130e-01,7.721000e-03
2.2889128,9.818100e-01,6.839000e-03
2.2889253,9.721570e-01,5.354000e-03
2.2889379,9.931200e-01,8.815000e-03
2.2889504,1.005861e+00,5.907000e-03
2.2889629,9.990200e-01,9.051000e-03
2.2889754,1.016445e+00,8.034000e-03
2.2889880,1.041626e+00,7.338000e-03
2.2890005,1.039583e+00,7.444000e-03
2.2890130,1.050607e+00,6.133000e-03
2.2890255,1.058155e+00,7.297000e-03
2.2890381,1.050642e+00,6.360000e-03
2.2890506,1.062141e+00,1.053800e-02
2.2890631,1.051298e+00,8.114000e-03
2.2890756,1.044531e+00,9.277000e-03
2.2890882,1.044858e+00,6.916000e-03
2.2891007,1.047456e+00,8.354000e-03
2.2891132,1.053519e+00,7.418000e-03
2.2891257,1.025746e+00,9.022000e-03
2.2891383,1.027480e+00,9.865000e-03
2.2891508,1.022555e+00,7.582000e-03
2.2891633,1.016333e+00,9.712000e-03
2.2891758,1.012868e+00,6.190000e-03
2.2891883,1.000455e+00,5.443000e-03
2.2892009,1.009980e+00,8.000000e-03
2.2892134,1.003992e+00,5.027000e-03
2.2892259,9.895130e-01,7.889000e-03
2.2892384,9.885130e-01,7.990000e-03
2.2892510,9.805550e-01,7.087000e-03
2.2892635,9.714140e-01,8.737000e-03
2.2892760,9.911800e-01,9.191000e-03
2.2892885,1.004231e+00,8.402000e-03
2.2893010,1.025447e+00,1.229300e-02
2.2893136,1.017906e+00,6.978000e-03
2.2893261,9.983470e-01,4.296000e-03
2.2893386,1.026201e+00,1.093700e-02
2.2893511,1.019055e+00,5.798000e-03
2.2893636,1.042534e+00,9.507000e-03
2.2893761,1.042394e+00,6.748000e-03
2.2893887,1.043297e+00,9.165000e-03
2.2894012,1.025686e+00,1.107700e-02
2.2894137,1.049990e+00,1.196000e-02
2.2894262,1.055184e+00,6.396000e-03
2.2894387,1.031381e+00,9.276000e-03
2.2894512,1.048813e+00,1.227400e-02
2.2894638,1.052766e+00,1.106500e-02
2.2894763,1.028255e+00,9.189000e-03
2.2894888,1.037356e+00,9.955000e-03
2.2895013,1.040863e+00,4.846000e-03
2.2895138,1.041279e+00,1.008600e-02
2.2895263,1.031039e+00,6.973000e-03
2.2895388,1.042366e+00,7.804000e-03
2.2895514,1.053067e+00,8.303000e-03
2.2895639,1.029581e+00,9.409000e-03
2.2895764,1.042681e+00,9.271000e-03
2.2895889,1.029903e+00,7.201000e-03
2.2896014,1.029363e+00,7.165000e-03
2.2896139,1.017992e+00,7.881000e-03
2.2896264,1.009972e+00,7.352000e-03
2.2896389,9.916690e-01,8.077000e-03
2.2896515,9.962670e-01,9.625000e-03
2.2896640,9.925080e-01,6.529000e-03
2.2896765,9.896440e-01,6.498000e-03
2.2896890,1.001842e+00,6.574000e-03
2.2897015,1.001678e+00,9.797000e-03
2.2897140,9.924810e-01,6.421000e-03
2.2897265,9.976610e-01,9.117000e-03
2.2897390,9.914870e-01,8.608000e-03
2.2897515,1.001046e+00,5.623000e-03
2.2897640,1.007106e+00,5.838000e-03
2.2897765,1.011416e+00,5.850000e-03
2.2897891,1.014649e+00,8.657000e-03
2.2898016,1.014642e+00,7.443000e-03
2.2898141,1.025257e+00,9.526000e-03
2.2898266,1.026207e+00,6.699000e-03
2.2898391,1.022645e+00,7.517000e-03
2.2898516,1.013166e+00,6.149000e-03
2.2898641,1.038221e+00,1.317200e-02
2.2898766,1.061189e+00,6.820000e-03
2.2898891,1.118557e+00,2.399400e-02
2.2899016,1.185220e+00,2.273200e-02
2.2899141,1.131848e+00,2.580700e-02
2.2899266,1.060430e+00,1.591300e-02
2.2899391,1.067975e+00,1.358300e-02
2.2899516,1.050033e+00,1.020500e-02
2.2899641,1.041583e+00,7.794000e-03
2.2899766,1.029029e+00,7.115000e-03
2.2899891,1.057548e+00,1.782100e-02
2.2900016,1.050567e+00,1.120900e-02
2.2900141,1.032372e+00,9.234000e-03
2.2900266,1.029455e+00,1.070400e-02
2.2900391,1.037778e+00,7.331000e-03
2.2900516,1.056388e+00,6.866000e-03
2.2900641,1.038781e+00,6.256000e-03
2.2900766,1.048512e+00,7.532000e-03
2.2900891,1.047574e+00,1.020100e-02
2.2901016,1.033692e+00,8.873000e-03
2.2901141,1.026256e+00,8.064000e-03
2.2901266,1.039401e+00,8.443000e-03
2.2901391,1.032428e+00,4.751000e-03
2.2901516,1.023420e+00,8.538000e-03
2.2901641,1.028380e+00,6.330000e-03
2.2901766,1.021434e+00,8.289000e-03
2.2901891,1.045028e+00,6.628000e-03
2.2902016,1.026080e+00,8.883000e-03
2.2902141,1.033688e+00,5.836000e-03
2.2902266,1.051987e+00,9.046000e-03
2.2902391,1.054363e+00,9.719000e-03
2.2902516,1.052727e+00,1.109900e-02
2.2902641,1.050646e+00,7.310000e-03
2.2902766,1.059313e+00,9.682000e-03
2.2902891,1.069880e+00,8.639000e-03
2.2903016,1.063460e+00,8.393000e-03
2.2903141,1.068933e+00,8.318000e-03
2.2903266,1.062473e+00,7.439000e-03
2.2903391,1.057900e+00,9.626000e-03
2.2903516,1.044092e+00,9.070000e-03
2.2903641,1.059995e+00,7.541000e-03
2.2903766,1.054893e+00,7.025000e-03
2.2903891,1.038651e+00,4.671000e-03
2.2904015,1.031171e+00,6.018000e-03
2.2904140,1.026399e+00,8.066000e-03
2.2904265,1.013713e+00,7.076000e-03
2.2904390,1.002177e+00,4.045000e-03
2.2904515,9.903520e-01,6.520000e-03
2.2904640,9.702610e-01,6.681000e-03
2.2904765,9.495160e-01,6.675000e-03
2.2904890,9.327300e-01,7.146000e-03
2.2905015,9.145720e-01,7.458000e-03
2.2905140,9.094110e-01,7.421000e-03
2.2905265,9.040800e-01,4.903000e-03
2.2905389,8.918110e-01,6.779000e-03
2.2905514,8.923570e-01,1.049000e-02
2.2905639,8.900370e-01,8.232000e-03
2.2905764,8.939510e-01,7.270000e-03
2.2905889,8.849320e-01,8.552000e-03
2.2906014,9.025660e-01,9.073000e-03
2.2906139,9.228900e-01,1.314700e-02
2.2906264,9.449450e-01,9.345000e-03
2.2906389,9.396820e-01,7.656000e-03
2.2906513,9.584030e-01,8.060000e-03
2.2906638,1.002654e+00,6.760000e-03
2.2906763,1.008190e+00,1.234200e-02
2.2906888,1.029687e+00,6.393000e-03
2.2907013,1.039015e+00,5.325000e-03
2.2907138,1.045564e+00,6.519000e-03
2.2907263,1.054103e+00,8.162000e-03
2.2907387,1.055374e+00,5.460000e-03
2.2907512,1.053350e+00,6.875000e-03
2.2907637,1.065015e+00,4.640000e-03
2.2907762,1.051387e+00,5.129000e-03
2.2907887,1.059955e+00,7.259000e-03
2.2908012,1.042638e+00,7.185000e-03
2.2908136,1.052021e+00,7.061000e-03
2.2908261,1.065609e+00,5.118000e-03
2.2908386,1.061947e+00,6.153000e-03
2.2908511,1.049603e+00,8.768000e-03
2.2908636,1.057853e+00,9.753000e-03
2.2908760,1.061556e+00,9.257000e-03
2.2908885,1.040990e+00,1.003200e-02
2.2909010,1.054268e+00,7.846000e-03
2.2909135,1.044289e+00,6.973000e-03
2.2909260,1.031200e+00,7.580000e-03
2.2909384,1.016801e+00,8.276000e-03
2.2909509,1.028005e+00,5.867000e-03
2.2909634,1.022762e+00,9.562000e-03
2.2909759,1.005068e+00,7.605000e-03
2.2909884,1.011517e+00,6.356000e-03
2.2910008,1.016106e+00,7.728000e-03
2.2910133,1.007986e+00,7.074000e-03
2.2910258,1.005689e+00,6.715000e-03
2.2910383,1.032147e+00,6.017000e-03
2.2910508,1.010762e+00,4.936000e-03
2.2910632,1.016666e+00,9.805000e-03
2.2910757,1.008746e+00,8.284000e-03
2.2910882,1.031162e+00,6.650000e-03
2.2911007,1.032342e+00,1.036800e-02
2.2911131,1.049727e+00,8.776000e-03
2.2911256,1.036850e+00,7.823000e-03
2.2911381,1.044413e+00,5.710000e-03
2.2911506,1.062578e+00,7.096000e-03
2.2911630,1.057257e+00,5.983000e-03
2.2911755,1.051028e+00,5.597000e-03
2.2911880,1.056459e+00,8.487000e-03
2.2912005,1.051516e+00,6.759000e-03
2.2912129,1.044623e+00,7.929000e-03
2.2912254,1.039604e+00,4.871000e-03
2.2912379,1.043547e+00,4.344000e-03
2.2912503,1.048793e+00,6.422000e-03
2.2912628,1.056596e+00,5.115000e-03
2.2912753,1.052057e+00,5.081000e-03
2.2912878,1.043732e+00,5.611000e-03
2.2913002,1.043847e+00,8.170000e-03
2.2913127,1.040703e+00,1.039900e-02
2.2913252,1.030627e+00,7.799000e-03
2.2913376,1.033348e+00,5.826000e-03
2.2913501,1.034996e+00,7.437000e-03
2.2913626,1.036789e+00,5.893000e-03
2.2913750,1.039145e+00,6.285000e-03
2.2913875,1.030429e+00,8.640000e-03
2.2914000,1.020314e+00,5.097000e-03
2.2914125,1.004808e+00,5.875000e-03
2.2914249,9.911340e-01,4.959000e-03
2.2914374,9.705480e-01,7.891000e-03
2.2914499,9.445150e-01,4.635000e-03
2.2914623,9.208120e-01,5.469000e-03
2.2914748,9.026080e-01,6.088000e-03
2.2914873,8.621470e-01,6.941000e-03
2.2914997,8.380010e-01,7.486000e-03
2.2915122,8.524760e-01,4.660000e-03
2.2915247,8.310800e-01,5.527000e-03
2.2915371,8.303930e-01,5.097000e-03
2.2915496,8.328450e-01,5.912000e-03
2.2915620,8.536280e-01,7.412000e-03
2.2915745,8.397490e-01,8.914000e-03
2.2915870,8.544200e-01,7.728000e-03
2.2915994,8.845700e-01,8.465000e-03
2.2916119,8.808050e-01,9.885000e-03
2.2916244,9.144140e-01,7.573000e-03
2.2916368,9.357580e-01,9.989000e-03
2.2916493,9.554130e-01,7.481000e-03
2.2916618,9.849740e-01,4.451000e-03
2.2916742,9.886470e-01,6.565000e-03
2.2916867,1.013493e+00,6.995000e-03
2.2916991,1.027309e+00,5.884000e-03
2.2917116,1.024540e+00,4.622000e-03
2.2917241,1.021610e+00,6.935000e-03
2.2917365,1.032252e+00,4.955000e-03
