wavelength_micron,normalized_flux,err_normalized_flux
2.2875995,9.510890e-01,1.556300e-02
2.2876120,9.227040e-01,1.296800e-02
2.2876246,9.400030e-01,1.668400e-02
2.2876371,9.239810e-01,1.399500e-02
2.2876497,9.278840e-01,1.162100e-02
2.2876622,9.369900e-01,1.093700e-02
2.2876748,9.436330e-01,1.256600e-02
2.2876873,9.218690e-01,1.672500e-02
2.2876999,9.154550e-01,1.590200e-02
2.2877124,9.610400e-01,1.259000e-02
2.2877249,9.489930e-01,1.040100e-02
2.2877375,9.486000e-01,1.265200e-02
2.2877500,9.431770e-01,1.052200e-02
2.2877626,9.599780e-01,1.075200e-02
2.2877751,9.686530e-01,1.257700e-02
2.2877877,9.932930e-01,1.100100e-02
2.2878002,1.002425e+00,1.207000e-02
2.2878128,1.005014e+00,1.171600e-02
2.2878253,9.905620e-01,1.285300e-02
2.2878379,1.012787e+00,8.973000e-03
2.2878504,1.022872e+00,1.329900e-02
2.2878630,1.017834e+00,1.157300e-02
2.2878755,1.027953e+00,1.025000e-02
2.2878880,1.031106e+00,1.323900e-02
2.2879006,1.033007e+00,1.090500e-02
2.2879131,1.018672e+00,1.286700e-02
2.2879257,1.050749e+00,1.041600e-02
2.2879382,1.048902e+00,9.134000e-03
2.2879508,1.060440e+00,8.042000e-03
2.2879633,1.050551e+00,1.733400e-02
2.2879758,1.052616e+00,1.263000e-02
2.2879884,1.046399e+00,9.070000e-03
2.2880009,1.053187e+00,8.727000e-03
2.2880135,1.056629e+00,1.157700e-02
2.2880260,1.063686e+00,1.044700e-02
2.2880386,1.060923e+00,9.013000e-03
2.2880511,1.047596e+00,1.300600e-02
2.2880636,1.061871e+00,1.220600e-02
2.2880762,1.071594e+00,7.256000e-03
2.2880887,1.059966e+00,1.143600e-02
2.2881013,1.057625e+00,9.457000e-03
2.2881138,1.059390e+00,9.199000e-03
2.2881263,1.091401e+00,1.123600e-02
2.2881389,1.082633e+00,7.877000e-03
2.2881514,1.061366e+00,1.370800e-02
2.2881639,1.062868e+00,1.198100e-02
2.2881765,1.073697e+00,1.114700e-02
2.2881890,1.075496e+00,1.186800e-02
2.2882016,1.069276e+00,1.098800e-02
2.2882141,1.055812e+00,1.219400e-02
2.2882266,1.061111e+00,1.377700e-02
2.2882392,1.070319e+00,9.187000e-03
2.2882517,1.067788e+00,1.253900e-02
2.2882642,1.082201e+00,6.902000e-03
2.2882768,1.077810e+00,1.053000e-02
2.2882893,1.065855e+00,1.280700e-02
2.2883018,1.085279e+00,9.414000e-03
2.2883144,1.072056e+00,1.016700e-02
2.2883269,1.082014e+00,1.168400e-02
2.2883394,1.101053e+00,9.547000e-03
