# Wavelength(nm) Rp/Rs Rp_err_low Rp_err_high
8.744404645439025217e+02 1.452609165066048036e-01 4.633504836261000104e-04 4.192036281799000155e-04
8.780014870314980726e+02 1.450488118414892114e-01 3.899327800432999787e-04 4.070034821605000223e-04
8.815661619796015884e+02 1.447708097059449972e-01 4.856621264305000072e-04 4.586876499697999814e-04
8.851344968140749643e+02 1.451321001722153947e-01 4.422050458929999974e-04 4.254842333236999951e-04
8.887064420952068531e+02 1.455844960904051077e-01 4.156933320993000110e-04 4.569809372249000160e-04
8.922819911465712721e+02 1.458479010536737897e-01 4.341485421121999973e-04 4.027301354414999902e-04
8.958611199156822522e+02 1.455865596172634946e-01 4.595035265895999906e-04 4.678538977265999884e-04
8.994437858556195806e+02 1.450043516304126978e-01 4.247524165837999826e-04 4.596979662612999903e-04
9.030299948963086081e+02 1.453430332431646932e-01 3.969237027628999917e-04 3.966780722768999861e-04
9.066196832134291981e+02 1.455112065695720880e-01 4.304559072099999918e-04 3.878498890513999969e-04
9.102128655113596096e+02 1.450676301117334033e-01 4.094580405971999949e-04 3.803550668764000067e-04
9.138095007263997331e+02 1.451774863886972911e-01 3.960673534209000228e-04 4.504161427222999939e-04
9.174095602576471720e+02 1.455581210657347080e-01 3.947969355358999888e-04 4.010600428326000009e-04
9.210130457555147814e+02 1.456632634705596896e-01 4.040759877018000102e-04 4.024350564321000192e-04
9.246198894851129353e+02 1.454453739214572883e-01 4.151685967361999977e-04 4.117961739815000229e-04
9.282301118251028811e+02 1.464871043794550021e-01 4.185631741396999986e-04 4.268123668751000075e-04
9.318436733133710277e+02 1.462543749475256893e-01 3.728292935763000203e-04 4.068624886099999759e-04
9.354605368635692457e+02 1.456523513483277132e-01 4.186078197847999788e-04 4.303755485590999848e-04
9.395336901907492120e+02 1.464792819302896121e-01 3.595201273592000092e-04 3.363250434169000151e-04
9.440639915808628757e+02 1.453193810500185978e-01 4.028591304171999748e-04 3.702615128785999798e-04
9.485993583130443767e+02 1.463453371186118901e-01 3.900074047602000151e-04 3.579862480881000012e-04
9.531397318356388269e+02 1.457593868639215917e-01 3.382791839254000073e-04 3.697513757120000086e-04
9.576850821204969861e+02 1.455646791081181002e-01 3.739188482448000230e-04 3.492833054223999732e-04
9.622353543760564207e+02 1.461916590882864908e-01 3.439027370925999976e-04 3.357505542418000267e-04
9.667905110074959794e+02 1.456431038093033981e-01 3.673901609709999752e-04 3.571453802004999995e-04
9.713505118615811398e+02 1.454395952273392911e-01 3.236084544139999951e-04 3.120846089213000088e-04
9.759152990848818945e+02 1.451131015435536131e-01 3.622401327970000144e-04 3.439716793080999958e-04
9.804848506578396155e+02 1.445564781004494981e-01 3.348322541891999844e-04 3.660595981192999782e-04
9.850590942205395777e+02 1.444510993856877867e-01 3.312450724414000235e-04 3.519331022452000112e-04
9.896380168461116682e+02 1.445922621812638920e-01 3.470429544334999953e-04 3.466434225886000126e-04
9.942215516299596629e+02 1.456396078830723972e-01 3.148588274964000152e-04 3.169209091789000209e-04
9.988096731751884363e+02 1.448356068235001071e-01 3.148143009964999802e-04 3.300022599497999965e-04
1.003402343832421138e+03 1.451867366144113936e-01 3.158540656412999739e-04 3.020287085482000139e-04
1.007999493720962619e+03 1.453075039621734010e-01 3.419437904275999889e-04 3.532539962828000067e-04
1.012601113784662402e+03 1.449490595407348092e-01 3.248124552607000218e-04 3.174116230180999742e-04
1.017207129702134353e+03 1.451597808956517077e-01 3.152147333827999857e-04 3.046354005968999849e-04
1.021817526045885984e+03 1.447177267863707928e-01 3.352690957411000165e-04 3.126359607011999797e-04
1.026432265037950629e+03 1.448728811834494867e-01 3.403782431314000085e-04 3.459692567875999802e-04
1.031051270962087983e+03 1.451108880667620893e-01 3.235518548773999819e-04 3.169900269296000014e-04
1.035674541969657639e+03 1.452260596307339002e-01 3.649239704714999982e-04 3.414661405773999946e-04
1.040302013279294442e+03 1.448247945737926867e-01 3.009606142464999823e-04 3.023456028545000234e-04
1.044933647383074685e+03 1.446842637213482941e-01 3.029688838691999746e-04 2.871488399330999965e-04
1.049569425956889290e+03 1.447873256422013977e-01 2.889781610872000132e-04 2.990886770494999942e-04
1.054209267723834273e+03 1.449988658559850929e-01 3.363048042991999926e-04 3.147898309928999776e-04
1.058853166320900982e+03 1.457340544944125960e-01 3.176337987025999884e-04 2.869556664069000196e-04
1.063501088184699938e+03 1.449568498812187911e-01 3.271300276735999773e-04 3.035508442542000028e-04
1.068152949185894840e+03 1.453761291449555959e-01 2.868259865115999952e-04 2.992644419629000201e-04
1.072808753486259775e+03 1.448986710797793009e-01 3.182901867617000079e-04 3.104987551208999801e-04
1.077468459344077019e+03 1.449888152644953909e-01 3.046842704663000169e-04 2.876670261692000218e-04
1.082131987500381456e+03 1.463351856048600019e-01 3.138731079746000133e-04 3.013254824722000152e-04
1.086799343737941399e+03 1.460343051127367120e-01 3.197979276432999854e-04 2.953147606246000058e-04
1.091470484419526201e+03 1.452692335052017947e-01 3.625738438329999887e-04 3.651124230468000211e-04
1.096145332132105523e+03 1.453958828630275979e-01 3.370927350846000055e-04 3.215790680130000225e-04
1.100823891662780625e+03 1.455343743623833952e-01 3.111938545049999891e-04 3.189895090602000178e-04
1.105506123019267079e+03 1.464182991323151051e-01 2.988286677615999815e-04 3.103125173132999779e-04
1.110191947998829392e+03 1.459583070993256126e-01 3.089117336830999889e-04 3.141671872675000257e-04
1.114881367385224621e+03 1.462377757326372985e-01 2.943567755266999998e-04 3.043486400102999863e-04
1.119574349677260216e+03 1.464877762850071985e-01 3.020935320206000153e-04 2.890864298819000185e-04
1.124270819237750857e+03 1.456717430169207073e-01 3.252683940009000246e-04 3.316367144861000118e-04
1.128970760321566331e+03 1.460022014521938083e-01 2.953319644824000008e-04 3.236413941183000076e-04
1.133674154116269619e+03 1.470837966587489887e-01 3.013543752255000191e-04 2.668094143187000212e-04
1.138380938434580230e+03 1.463515599157325930e-01 2.950704668726999839e-04 2.633196465582999862e-04
1.143091069007579563e+03 1.461621701497410053e-01 2.961101741656000015e-04 2.582228806797999825e-04
1.147804542085150388e+03 1.459328870371605080e-01 3.092573702188000173e-04 2.833987615866000176e-04
1.152521314462108649e+03 1.459349039079937960e-01 2.727564449308000232e-04 2.650089485129999761e-04
1.157241319737651111e+03 1.454675598827055993e-01 3.278780696367999958e-04 3.084501641043000167e-04
1.161964546364892840e+03 1.458909647368052953e-01 3.296773976362999802e-04 3.198622917535999793e-04
1.166690972953212395e+03 1.462564728365148004e-01 3.067517506865999766e-04 2.867974166579000074e-04
1.171420541264945086e+03 1.459078710627078890e-01 2.780902945787999811e-04 2.593457403552000161e-04
1.176153205067471163e+03 1.457123525430938926e-01 2.813430402023000187e-04 2.959898974957999836e-04
1.180888959298171585e+03 1.462667409179393974e-01 3.172629540842000035e-04 2.995189605428000040e-04
1.185627772056396452e+03 1.453683741219559955e-01 2.948757428259999821e-04 3.012951681732999737e-04
1.190369580540601419e+03 1.455085691653111024e-01 2.833908284553999938e-04 3.202002893318999953e-04
1.195114350954783959e+03 1.455273715495999098e-01 2.957114729869000144e-04 2.994282604448999878e-04
1.199862076226744193e+03 1.457192553918811029e-01 2.839124111713999758e-04 2.836879171743000188e-04
1.204612721009401866e+03 1.459703872104897993e-01 2.928239145923000044e-04 2.968331259128999884e-04
1.209366225860779650e+03 1.457297259078108032e-01 2.856301346676999933e-04 2.772303362644000057e-04
1.214122558872021727e+03 1.455122437266231084e-01 3.156158097639999872e-04 3.000579261718999734e-04
1.218881711262463341e+03 1.451405608425337945e-01 3.047650522474000100e-04 3.036965605410000104e-04
1.223643650130751439e+03 1.458763660323562916e-01 2.851887654959999970e-04 2.949880508185000042e-04
1.228408319127448749e+03 1.454717796386177930e-01 2.850205117912000012e-04 2.754193861845999781e-04
1.233175684431360423e+03 1.454881157823076920e-01 2.793305522138000204e-04 2.875621449718000224e-04
1.237945732767240088e+03 1.451693203580297908e-01 3.000849206607999792e-04 2.920463080755999856e-04
1.242718438507876954e+03 1.450948413759609867e-01 3.000774808467999793e-04 2.909990960194000151e-04
1.247493751211976587e+03 1.451843846051353026e-01 2.863015584936999991e-04 2.866483080604999853e-04
1.251793615734655305e+03 1.454564917275721903e-01 3.475790836845000175e-04 3.313317434892999952e-04
1.258008449319521787e+03 1.447647840662578955e-01 3.083772268861000010e-04 2.961170146347999747e-04
1.262791907091908570e+03 1.450910860317365936e-01 2.831574110984999950e-04 3.081947467494000246e-04
1.267577846414102169e+03 1.448265398438607909e-01 2.646014612544999776e-04 2.704981543536999987e-04
1.272366224557285932e+03 1.444638569406196948e-01 2.912608075593999934e-04 2.981059680358000177e-04
1.277157011477936521e+03 1.450435324610009069e-01 3.290413867759000134e-04 3.252203606088999795e-04
1.281950191842377762e+03 1.450502082808408921e-01 2.981291303130999965e-04 2.987622153345000108e-04
1.286745740315797548e+03 1.446350620791677088e-01 3.004013597251000214e-04 2.913679772849999999e-04
1.291543611837725848e+03 1.452907125734383964e-01 3.097021300443000055e-04 3.133383118215999816e-04
1.296343771585306740e+03 1.448637945342300948e-01 3.026733990930000149e-04 2.963583844056000001e-04
1.301146190404062963e+03 1.447403879567303042e-01 3.258678032447000043e-04 3.230924655790000247e-04
1.305950852259305520e+03 1.449475482664837889e-01 2.933906121529000202e-04 3.045534291487999885e-04
1.310757731968524240e+03 1.455677335946246875e-01 2.988029884833999809e-04 3.391265784138000161e-04
1.315566787017661454e+03 1.454310037929996136e-01 3.141228440388000188e-04 2.953382807397999751e-04
1.320377984272757203e+03 1.458667081591286940e-01 2.968570727988000088e-04 2.909346465165000206e-04
1.325191295344605805e+03 1.458495500671913025e-01 3.105345390845999903e-04 3.113199025401000076e-04
1.330006699248895757e+03 1.463909880613845083e-01 2.992807996446999780e-04 3.469318027564999751e-04
1.334824175830030299e+03 1.462394000197607125e-01 2.966128915349000215e-04 2.989391665237999766e-04
1.339643689395417141e+03 1.464958070224224029e-01 3.176662108624000004e-04 3.246787906387999922e-04
1.344465203789324050e+03 1.469345352917771907e-01 3.395545259613000073e-04 3.125414516663000113e-04
1.349288691530383176e+03 1.467085922165400902e-01 3.417108092585000078e-04 3.166465644462999928e-04
1.354114125561077572e+03 1.474085337570557874e-01 3.258836841927000103e-04 3.017068875359000266e-04
1.358941489514728573e+03 1.472382429692233874e-01 2.884965396127999837e-04 2.873943962658999829e-04
1.363770758075227604e+03 1.471428543742915040e-01 2.985535060609999757e-04 3.107188167159999803e-04
1.368601893194123932e+03 1.469210185636221910e-01 3.295400530546999758e-04 2.982700359588000131e-04
1.373434865899627994e+03 1.467303198308443912e-01 2.984346882173000257e-04 3.061286173239000270e-04
1.378269649813205660e+03 1.471062693082549888e-01 3.458582576085000100e-04 2.993557313050000191e-04
1.383106218952500967e+03 1.472228840740497924e-01 3.373751216631000059e-04 3.156057137614999889e-04
1.387944556539543328e+03 1.473654381750026110e-01 2.997707988333000030e-04 3.028794669270999966e-04
1.392784638077918999e+03 1.461846139567311020e-01 3.362974537995999983e-04 3.218162299580999762e-04
1.397626428218680985e+03 1.474378387031302085e-01 3.470268209435999995e-04 3.396016926109999960e-04
1.402469899493156618e+03 1.470207087770770138e-01 3.395211856503000010e-04 3.190910369891000135e-04
1.407315026640233782e+03 1.470621266179072129e-01 3.533919812435999826e-04 3.559688053233999979e-04
1.412161784582590826e+03 1.468278682550085978e-01 3.706479397715999936e-04 3.329340069986000037e-04
1.417010152652446550e+03 1.471884125555782963e-01 3.373669846150000149e-04 3.350641372321000217e-04
1.421860111364865816e+03 1.471410402372473059e-01 2.967651161302999789e-04 3.061239412285999932e-04
1.426711631569286510e+03 1.476236820261832006e-01 3.356705721147000055e-04 3.417438607135999860e-04
1.431564683312104080e+03 1.475534291190747915e-01 3.440290957489000015e-04 3.100220049743999820e-04
1.436419242461359772e+03 1.470710249706422001e-01 3.417421115258000106e-04 3.442374457737000211e-04
1.441275285071956660e+03 1.470990026197288025e-01 3.428023083243999895e-04 3.278229644816999834e-04
