# Line list of the E ^4^{Pi} - A ^4^{Pi} transition of FeH, 
# Table 5 of Hargreaves et al., 2010, AJ, 140, 919
wavenumber,intensity,e_lower,einsteinA,j_lower,branch,omega
6319.9213867,3.0931979999999997e-19,2250.0,,,,
6319.7680664,9.261003999999999e-20,2250.0,,,,
6319.6230469,5.666938e-20,2250.0,,,,
6319.597168,1.067085e-19,2250.0,,,,
6319.3168945,3.8653119999999997e-19,2250.0,,,,
6318.9135742,6.147759e-20,2250.0,,,,
6318.8618164,5.664003e-20,2250.0,,,,
6318.8032227,3.7870919999999995e-20,2250.0,,,,
6318.5141602,2.9617709999999995e-19,2250.0,,,,
6318.359375,5.256335e-20,2250.0,,,,
6318.2851562,7.114568e-20,2250.0,,,,
6318.1850586,8.085279e-20,2250.0,,,,
6318.1586914,7.272715e-20,2250.0,,,,
6317.9418945,5.76311e-20,2250.0,,,,
6317.8911133,1.3623059999999999e-19,2250.0,,,,
6317.8208008,8.549953e-20,2250.0,,,,
6317.7817383,6.46705e-20,2250.0,,,,
6317.1669922,6.221764999999999e-20,2250.0,,,,
6317.1254883,1.316322e-19,2250.0,,,,
6317.0449219,3.2913609999999997e-19,2250.0,,,,
6316.8579102,1.998184e-18,2250.0,,,,
6316.6132812,2.5013010000000002e-18,2250.0,,,,
6316.4370117,1.057029e-18,2250.0,,,,
6316.3754883,9.299020999999999e-20,2250.0,,,,
6316.2734375,2.638691e-19,2250.0,,,,
6316.2104492,8.555356e-20,2250.0,,,,
6316.0595703,1.0390619999999999e-19,2250.0,,,,
6316.0371094,1.129791e-19,2250.0,,,,
6315.9443359,2.078491e-18,2250.0,,,,
6315.4931641,1.9984629999999998e-19,2250.0,,,,
6314.9667969,4.254777e-20,2250.0,,,,
6314.7719727,2.589226e-19,2250.0,,,,
6314.7114258,1.264577e-19,2250.0,,,,
6314.6425781,5.942659e-20,2250.0,,,,
6314.5395508,2.9864330000000002e-18,2250.0,,,,
6314.2348633,3.681752e-19,2250.0,,,,
6314.1386719,9.672098e-20,2250.0,,,,
6314.0610352,7.647966e-20,2250.0,,,,
6313.9604492,9.35526e-20,2250.0,,,,
6313.8520508,5.142258e-19,2250.0,,,,
6313.3374023,1.095951e-19,2250.0,,,,
6313.293457,7.871453e-20,2250.0,,,,
6313.0175781,5.067755e-19,2250.0,,,,
6312.7636719,2.3650399999999998e-20,2250.0,,,,
6312.7402344,5.48629e-20,2250.0,,,,
6312.472168,1.564195e-18,2250.0,,,,
6312.3642578,1.8386009999999997e-19,2250.0,,,,
6312.2319336,7.852403e-20,2250.0,,,,
6311.5366211,2.5424059999999996e-19,2250.0,,,,
6311.3500977,1.4286229999999998e-19,2250.0,,,,
6311.3022461,2.8475169999999997e-19,2250.0,,,,
6311.2026367,2.0110859999999998e-19,2250.0,,,,
6310.7783203,3.056748e-18,2250.0,,,,
6310.5878906,2.34557e-19,2250.0,,,,
6310.4648438,1.0254029999999999e-19,2250.0,,,,
6310.3945312,2.906573e-20,2250.0,,,,
6310.3945312,3.335246e-20,2250.0,,,,
6310.0810547,2.1841699999999996e-19,2250.0,,,,
6309.2866211,8.715465e-19,2250.0,,,,
6309.1708984,1.034919e-19,2250.0,,,,
6309.0053711,4.9834759999999995e-20,2250.0,,,,
6308.9194336,1.449442e-19,2250.0,,,,
6308.3735352,2.445321e-19,2250.0,,,,
6308.3496094,2.0289539999999997e-19,2250.0,,,,
6308.2861328,8.494612e-20,2250.0,,,,
6308.1591797,1.814619e-19,2250.0,,,,
6308.1079102,8.400273e-20,2250.0,,,,
6307.9658203,1.0454589999999999e-19,2250.0,,,,
6307.6503906,8.514206e-20,2250.0,,,,
6307.2963867,1.865496e-19,2250.0,,,,
6307.159668,5.228647e-19,2250.0,,,,
6307.0986328,1.569679e-18,2250.0,,,,
6307.0361328,1.0337679999999999e-19,2250.0,,,,
6306.9501953,6.432319e-20,2250.0,,,,
6306.6630859,6.772613999999999e-19,2250.0,,,,
6306.5336914,4.0699819999999996e-19,2250.0,,,,
6306.4814453,2.0240399999999998e-20,2250.0,,,,
6306.4541016,1.115568e-19,2250.0,,,,
6306.1767578,9.694512999999999e-20,2250.0,,,,
6305.5297852,7.658304999999999e-19,2250.0,,,,
