nu,unc,A,S,"E""",g',"g""",J',"J""",Grve',v1',v2',v3',Ka',Kc',"Grve""","v1""","v2""","v3""","Ka""","Kc"""
4329.110607,0.000959,0.1036,1.270814109606162e-29,3766.378879,27,25,13,12, A2,0,2,0,13,1, A1,0,0,0,12,0
4329.110614,0.000959,0.1036,3.8124424462082007e-29,3766.378872,81,75,13,12, B2,0,2,0,13,0, B1,0,0,0,12,1
4329.158658,0.00039,0.00033612,3.27808591478772e-30,2880.832451,29,29,14,14, A2,0,2,0,9,5, A1,0,0,0,4,10
4329.306976,3.6e-05,0.69931,3.9977812665617437e-28,3659.903253,75,69,12,11, B1,0,1,1,7,5, B2,0,1,0,5,6
4329.374954,6.8e-05,0.55016,1.3353326262641583e-27,3136.411255,25,23,12,11, A2,0,1,1,4,9, A1,0,1,0,2,10
4329.431823,0.000119,0.32216,2.1979359231756855e-28,3654.04762,87,81,14,13, B1,1,1,0,4,11, B2,0,1,0,1,12
4329.612237,4.1e-05,0.71931,1.7006507599365167e-24,1962.506166,81,75,13,12, B1,0,0,1,5,9, B2,0,0,0,3,10
4329.745032,8.3e-05,0.00076922,9.675957982340754e-27,1340.884504,21,19,10,9, A2,1,0,0,7,3, A1,0,0,0,4,6
4330.114686,5.6e-05,0.0038926,3.761748297236114e-29,2998.76597,51,57,8,9, B2,0,4,0,3,6, B1,0,1,0,4,5
4330.492159,0.000214,0.25713,5.035185983494169e-30,4172.150832,31,29,15,14, A1,0,2,0,12,4, A2,0,0,0,11,3
4330.493025,0.000214,0.25713,1.5105594127835675e-29,4172.150257,93,87,15,14, B1,0,2,0,12,3, B2,0,0,0,11,4
4330.730665,0.000155,0.10541,2.6540880934706256e-28,3144.567968,27,25,13,12, A2,1,1,0,3,11, A1,0,1,0,0,12
4331.039398,0.000114,0.1097,8.284735318684977e-28,3144.577843,81,75,13,12, B1,1,1,0,2,11, B2,0,1,0,1,12
4331.123934,7.8e-05,2.2457e-06,1.5021940257150146e-28,927.743868,15,15,7,7, A2,0,3,0,1,7, A1,0,0,0,4,4
4331.350855,7e-05,0.00012728,5.149883752496592e-27,1282.918767,51,57,8,9, B1,0,3,0,2,7, B2,0,0,0,3,6
4331.370109,7.9e-05,9.7281e-07,1.3961342769601345e-29,1293.017188,19,21,9,10, A1,1,0,0,8,2, A2,0,0,0,1,9
4331.423842,7.1e-05,1.5298e-06,7.916745181273972e-29,1255.166516,57,51,9,8, B1,0,3,0,0,9, B2,0,0,0,5,4
4331.576059,0.000123,0.0010514,5.046971711153414e-30,3291.146923,105,105,17,17, B1,0,2,0,6,11, B2,0,0,0,1,16
4332.136273,4.1e-05,3.0663e-07,2.2797655385152667e-30,1631.382967,51,57,8,9, B2,1,1,0,1,8, B1,0,0,0,6,3
4332.219355,6.6e-05,9.7597e-05,4.551541009637026e-28,1806.669485,75,81,12,13, B2,0,0,1,6,6, B1,0,0,0,0,13
4332.358605,6.9e-05,0.0038368,1.9323553338196566e-26,1806.669485,81,81,13,13, B2,0,0,1,4,10, B1,0,0,0,0,13
4332.62798,6e-05,1.2632e-08,3.338589431858288e-30,488.134172,7,9,3,4, A2,0,3,0,1,3, A1,0,0,0,4,0
4332.63251,8.2e-05,0.039493,4.9532035493836024e-29,3567.171536,105,105,17,17, B2,0,0,1,6,12, B1,0,0,0,2,15
4332.667206,0.000661,0.69538,1.2880376662587592e-29,4183.387387,31,29,15,14, A2,1,1,0,5,11, A1,0,1,0,2,12
4333.314112,4.1e-05,3.7049e-08,1.250702410579565e-29,756.724702,33,39,5,6, B2,0,3,0,1,4, B1,0,0,0,4,3
4333.399049,3.5e-05,0.010655,2.8199685592052268e-30,3738.6089,51,45,8,7, B2,0,2,1,4,4, B1,0,2,0,0,7
4333.426258,0.00015,2.3325,7.525702886821577e-27,3360.598928,99,93,16,15, B1,0,0,1,7,9, B2,0,0,0,5,10
4333.502983,8.3e-05,7.6572e-05,1.6930538172444924e-29,2433.799069,75,75,12,12, B2,0,3,0,3,10, B1,0,0,0,6,7
4333.812914,6.2e-05,0.00041429,1.2851062870384135e-26,1360.235002,57,57,9,9, B2,0,0,1,8,2, B1,0,0,0,4,5
4334.064239,0.000171,0.049559,1.024187542540671e-30,4263.149925,51,57,8,9, B1,0,5,0,2,7, B2,0,2,0,1,8
4334.637494,0.005171,0.01701,2.037363202739759e-30,3812.044718,33,35,16,17, A2,1,1,0,1,15, A1,0,0,0,4,14
4334.679509,0.000112,0.00026756,3.167448205355529e-30,3080.177656,93,93,15,15, B1,1,0,0,8,7, B2,0,0,0,3,12
4334.912286,0.000112,0.0037734,7.394074935944401e-27,1774.615197,27,25,13,12, A1,0,2,0,6,8, A2,0,0,0,1,11
4335.05509,0.000201,0.89449,1.8492136238031916e-26,2739.427591,31,29,15,14, A1,0,0,1,5,10, A2,0,0,0,3,11
4335.260365,0.000138,1.3112,2.7230303780414206e-29,4432.8568,117,111,19,18, B1,1,0,0,6,13, B2,0,0,0,5,14
4335.315361,5.8e-05,0.015822,1.659845984007096e-27,2631.267071,93,93,15,15, B1,0,0,1,5,11, B2,0,0,0,1,14
4335.409768,2.5e-05,8.8469e-05,1.831218151949904e-25,447.252347,45,39,7,6, B1,0,0,1,5,3, B2,0,0,0,1,6
4335.412975,2.6e-05,8.4037e-05,5.653704902097343e-26,704.214032,51,45,8,7, B1,1,0,0,6,3, B2,0,0,0,1,6
4335.536508,0.000163,0.025326,2.2997526024815854e-27,2660.943956,93,99,15,16, B1,0,3,0,0,15, B2,0,0,0,1,16
4335.561294,0.000364,0.025328,7.666330584594543e-28,2660.944738,31,33,15,16, A2,0,3,0,1,15, A1,0,0,0,0,16
4335.563975,0.000161,0.017335,5.248904112847749e-29,3360.598928,93,93,15,15, B1,0,0,1,9,7, B2,0,0,0,5,10
4335.848781,0.000211,0.016983,6.132000909636566e-30,3810.933822,99,105,16,17, B1,1,1,0,2,15, B2,0,0,0,3,14
4336.171277,0.000137,5.3321e-06,4.6754971595999665e-28,920.209717,19,19,9,9, A1,1,0,0,6,4, A2,0,0,0,1,9
4336.321206,9.7e-05,0.001414,2.8442026992986572e-30,3383.265129,69,63,11,10, B1,0,3,0,8,3, B2,0,1,0,5,6
4336.703008,6.3e-05,0.28958,2.7325174476235596e-30,4260.351029,23,21,11,10, A2,0,2,1,2,9, A1,0,2,0,0,10
4337.105868,0.000101,0.050392,2.9902192582676326e-28,2915.893164,21,23,10,11, A1,0,4,0,0,10, A2,0,1,0,1,11
4337.166593,0.000204,0.20185,1.4155386492038957e-30,4382.778179,31,29,15,14, A1,0,1,1,5,10, A2,0,1,0,3,11
4337.175373,6e-05,0.75203,3.87223733594193e-25,2275.371915,81,75,13,12, B1,0,0,1,7,7, B2,0,0,0,5,8
4337.403493,0.00013,1.5578e-05,9.206187599198648e-29,1474.980198,19,19,9,9, A1,0,3,0,2,8, A2,0,0,0,5,5
4337.61077,4.4e-05,1.1016,3.9506264368073883e-28,3770.878047,81,75,13,12, B2,0,1,1,6,8, B1,0,1,0,4,9
4337.715776,0.000391,3.7504e-05,1.1394055514919471e-30,2872.273105,87,93,14,15, B2,0,2,0,9,6, B1,0,0,0,2,13
4337.853274,8.2e-05,2.3751e-05,1.819223345026141e-30,2572.138963,51,45,8,7, B2,1,1,0,7,2, B1,0,1,0,4,3
4337.984773,0.000133,0.0007993,2.0149294880263002e-30,3127.801436,25,27,12,13, A2,0,1,1,4,9, A1,0,0,0,8,6
4338.021125,9.2e-05,1.5227e-05,8.302765455772863e-30,1985.784148,21,23,10,11, A1,1,1,0,0,10, A2,0,0,0,5,7
4338.276461,0.000132,2.9647e-05,2.382763105047892e-28,1411.64175,19,17,9,8, A2,0,2,0,9,1, A1,0,0,0,6,2
4338.306919,0.000132,2.9627e-05,7.144424348949617e-28,1411.611293,57,51,9,8, B2,0,2,0,9,0, B1,0,0,0,6,3
4338.422943,7.2e-05,0.66619,1.323219836161168e-28,3650.508193,25,23,12,11, A1,0,1,1,7,6, A2,0,1,0,5,7
4338.445537,7.1e-05,0.050864,9.04994527031331e-28,2915.873741,63,69,10,11, B2,0,4,0,1,10, B1,0,1,0,0,11
4338.670124,7.6e-05,0.00042749,1.06588488961855e-27,1899.007489,63,69,10,11, B2,0,3,0,3,8, B1,0,0,0,4,7
4338.927431,0.000104,0.0018509,1.0383228640449756e-26,1557.84357,27,25,13,12, A2,0,2,0,5,9, A1,0,0,0,0,12
4339.190348,5.2e-05,2.7481e-05,9.650784565866443e-27,782.409821,39,45,6,7, B2,0,3,0,1,6, B1,0,0,0,2,5
4339.285121,0.000489,0.0011893,1.2341038924953884e-29,2880.832451,31,29,15,14, A2,1,0,0,7,9, A1,0,0,0,4,10
4339.366568,3.3e-05,0.0056441,1.2300288878522664e-26,1962.506166,75,75,12,12, B1,0,0,1,7,5, B2,0,0,0,3,10
4339.524056,3e-05,0.001936,3.6398805826006526e-29,2904.427809,63,63,10,10, B2,0,1,1,6,4, B1,0,1,0,2,9
4339.618868,0.000109,0.00015622,2.287982395125478e-29,2533.791758,81,81,13,13, B2,0,2,0,9,4, B1,0,0,0,4,9
4339.88314,0.000297,0.010587,4.357804260274374e-29,3083.864285,33,31,16,15, A2,0,2,0,7,9, A1,0,0,0,4,12
4339.982909,2.7e-05,0.00077515,3.558465621508697e-25,782.409821,51,45,8,7, B2,0,0,1,6,2, B1,0,0,0,2,5
4340.021901,2.8e-05,6.2024e-05,2.5873781138599882e-30,2740.420358,63,69,10,11, B1,0,1,1,5,5, B2,0,0,0,9,2
4340.270461,8.8e-05,0.0090759,7.73955588776539e-30,3592.422991,81,75,13,12, B1,0,4,0,0,13, B2,0,1,0,3,10
4340.465905,7e-05,6.4277e-05,2.7497814229151804e-30,2439.954332,15,15,7,7, A1,0,1,1,7,0, A2,0,1,0,3,5
4340.756309,0.00011,3.5538e-06,5.456422459816346e-29,1524.847291,63,69,10,11, B1,1,0,0,8,3, B2,0,0,0,1,10
4341.416108,8.8e-05,5.684e-06,4.638968478040889e-29,1690.663544,75,69,12,11, B2,0,2,0,7,6, B1,0,0,0,2,9
4341.467783,6.1e-05,2.2055e-06,9.927103844926519e-29,1282.918767,57,57,9,9, B1,1,0,0,8,1, B2,0,0,0,3,6
4341.750337,5.9e-05,0.001029,2.0895301358651944e-29,2981.357457,99,105,16,17, B2,0,0,1,4,12, B1,0,0,0,0,17
4341.766199,0.000124,0.96354,4.6015440112732467e-29,3959.251918,27,25,13,12, A1,0,1,1,7,6, A2,0,1,0,5,7
4342.601132,4.3e-05,0.95701,8.15223176783354e-28,3592.422991,81,75,13,12, B1,0,1,1,5,9, B2,0,1,0,3,10
4342.703347,5e-05,0.0014977,1.066123775724392e-30,3478.986318,39,33,6,5, B2,2,0,0,3,4, B1,0,2,0,0,5
4342.752491,5.1e-05,0.0035592,1.2343393812080778e-30,3626.922058,39,33,6,5, B2,1,0,1,4,2, B1,0,2,0,2,3
