,nu,transmission
0,17152.658662092625,0.0
1,17226.52885443583,0.0001
2,17301.038062283737,0.0003
3,17376.19461337967,0.0005
4,17452.00698080279,0.0006
5,17528.483786152497,0.0008
6,17605.6338028169,0.0009
7,17683.465959328027,0.001
8,17761.989342806395,0.0012
9,17841.21320249777,0.0015
10,17921.14695340502,0.0021
11,18001.800180018003,0.0032
12,18083.182640144667,0.005
13,18165.304268846503,0.0077
14,18248.17518248175,0.0112
15,18331.805682859762,0.0166
16,18416.206261510128,0.0295
17,18501.387604070303,0.0548
18,18587.36059479554,0.0911
19,18674.136321195143,0.1352
20,18761.72607879925,0.1839
21,18850.14137606032,0.2339
22,18939.39393939394,0.2807
23,19029.495718363465,0.3194
24,19120.458891013383,0.3452
25,19212.29586935639,0.3558
26,19305.019305019305,0.3581
27,19398.642095053347,0.3595
28,19493.17738791423,0.3609
29,19588.63858961802,0.3613
30,19685.03937007874,0.3609
31,19782.393669634024,0.3597
32,19880.715705765408,0.3581
33,19980.01998001998,0.3562
34,20080.321285140562,0.3541
35,20181.634712411706,0.3519
36,20283.97565922921,0.3495
37,20387.35983690112,0.3472
38,20491.803278688523,0.3448
39,20597.32234809475,0.3425
40,20703.933747412008,0.3403
41,20811.654526534858,0.3383
42,20920.50209205021,0.3364
43,21030.49421661409,0.3346
44,21141.649048625794,0.3327
45,21253.985122210415,0.3307
46,21367.521367521367,0.3284
47,21482.277121374867,0.3257
48,21598.272138228942,0.3224
49,21715.526601520087,0.3184
50,21834.06113537118,0.3141
51,21953.896816684963,0.3097
52,22075.05518763797,0.3055
53,22197.558268590456,0.3016
54,22321.428571428572,0.2979
55,22446.68911335578,0.294
56,22573.363431151243,0.2899
57,22701.475595913733,0.2852
58,22831.0502283105,0.2801
59,22962.11251435132,0.2747
60,23094.688221709006,0.2691
61,23228.803716608596,0.2633
62,23364.48598130841,0.2574
63,23501.762632197413,0.2513
64,23640.66193853428,0.2448
65,23781.212841854936,0.2378
66,23923.444976076556,0.2301
67,24067.388688327315,0.2214
68,24213.075060532687,0.2116
69,24360.5359317905,0.2003
70,24509.803921568626,0.1873
71,24660.91245376079,0.1722
72,24813.89578163772,0.1545
73,24968.789013732832,0.1342
74,25125.628140703517,0.1123
75,25284.450063211127,0.09
76,25445.29262086514,0.0686
77,25608.19462227913,0.0492
78,25773.19587628866,0.0326
79,25940.33722438392,0.0194
80,26109.660574412534,0.0103
81,26281.208935611037,0.0055
82,26455.026455026455,0.0034
83,26631.158455392808,0.0024
84,26809.65147453083,0.0019
85,26990.55330634278,0.0013
86,27173.91304347826,0.0008
87,27359.781121751024,0.0003
88,27548.209366391184,0.0
