        D0        I1        I2
 3.9600000       1.5       1.5
                                   label   name Lambda   2S+1    +/-    u/g             Te             we            wxe            wye             Be           alfe           game             De           bete             re   references
                                                                                    [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]           [AA]             
                                       N      N      .      .      .      .        (72137)          [319]              .              .          0.085              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                       M      M      .      .      .      .        (69607)          [365]              .              .          0.085              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                       J      J      .      1      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                                       I      I      .      1      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                                       H      H      .      .      .      .        (61726)          [364]              .              .          0.085              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                       G      G      .      .      .      .        (54586)          [377]              .              .          0.085              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                       F      F      .      .      .      .        (52221)          [386]              .              .          0.085              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                             b (^3 Pi_u)      b      1      3      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                         B ^1 Sigma_u ^+      B      0      1      +      u        (40925)        [243.6]              .              .       [0.0712]              .              .              .              .          [2.5]     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                         A ^1 Sigma_u ^+      A      0      1      +      u        (40349)        [260.3]              .              .      [0.07202]              .              .              .              .         [2.50]     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                         d (^3 Pi_g) 1_g      d      1      1      .      g        30818.8          336.7           1.36              .        0.09222        0.00033              .              .              .         2.2090     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                a (^3 Sigma_u ^-) 0_u ^+      a      0      1      -      u        24641.2          337.0           0.83              .        0.08664        0.00030              .              .              .         2.2790     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                                       e      e      .      .      .      .        19914.7          330.0            0.9              .          0.085              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                 c ^3 Sigma_u ^+  0_u ^-      c      0      1      -      u        14644.4          314.3           1.17              .        0.08491        0.00035              .              .              .         2.3021     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                    c ^3 Sigma_u ^+  1_u      c      0      1      +      u        14481.6          314.3           1.17              .        0.08471        0.00035              .              .              .         2.3036     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                         X ^1 Sigma_g ^+      X      0      1      +      g              0         429.55          1.117       0.000139        0.10179       0.000333    -0.00000028              .              .         2.1026     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
END
