        D0        I1        I2
 4.5500000       0.0       1.5
                                   label   name Lambda   2S+1    +/-    u/g             Te             we            wxe            wye             Be           alfe           game             De           bete             re   references
                                                                                    [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]           [AA]             
                            G (^2 Sigma)      G      0      2      .      .        32511.4          331.3           1.29              .          0.072              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                            F (^2 Sigma)      F      0      2      .      .        29493.6          331.8            1.3              .          0.072              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                            E ^2 Sigma^+      E      0      2      +      .        27064.8          311.5           0.93              .          0.072              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                            D ^2 Sigma^+      D      0      2      +      .        25471.6          304.6           1.04              .          0.072              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                 C ^2 Pi      C      1      1      .      .        19450.1         285.0Q           0.79              .          0.072              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                 C ^2 Pi      C      1      1      .      .        19062.9         280.2Q           0.79              .          0.072              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                          B (^2 Sigma^+)      B      0      2      +      .          11880         255.25           0.83              .          0.072              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                               A (^2 Pi)      A      1      1      .      .        10995.3         256.35           0.73              .          0.072              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                               A (^2 Pi)      A      1      1      .      .          10363         256.35           0.73              .          0.072              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                            X ^2 Sigma^+      X      0      2      +      .              0          279.3           0.89              .          0.072              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
END
