        D0        I1        I2
 6.5077100       0.0       1.0
                                   label   name Lambda   2S+1    +/-    u/g             Te             we            wxe            wye             Be           alfe           game             De           bete             re   references
                                                                                    [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]           [AA]             
                               nf seriesnfserie      .      .      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                         nd-delta seriesnd-delt      .      .      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                     np-pi,-sigma seriesnp-pi,-      .      .      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                         ns-sigma seriesns-sigm      .      .      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                                      6f     6f      .      1      .      .          71427           2376           16.2              .          1.847              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                      6f     6f      .      1      .      .          71427           2376           16.2              .          1.847              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                6d-delta6d-delt      .      1      .      .        (71342)         (2397)           (23)              .         [1.86]              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                                6d-delta6d-delt      .      1      .      .        (71342)         (2397)           (23)              .         [1.86]              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                  Z ^2 Sigma^+  7s-sigma      Z      0      1      +      .          71224           2377           16.4              .        [1.938]              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                  Z ^2 Sigma^+  7s-sigma      Z      0      1      +      .          71224           2377           16.4              .        [1.938]              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                  Y ^2 Sigma^+  6p-sigma      Y      0      1      +      .          70614           2370           15.0              .         [2.11]              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                           W ^2 Pi 6p-pi      W      1      1      .      .          70512           2375           15.6              .          1.847              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                      5f     5f      .      1      .      .          70079           2377           16.5              .        [1.988]              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                      U ^2 Delta5d-delta      U      2      1      .      .        (69977)           2371           16.4              .          1.847              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                   T ^2 Sigma^+ 6s-sigma      T      0      1      +      .        (69728)           2372           15.7              .          1.847              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                   R ^2 Sigma^+ 5p-sigma      R      0      1      +      .        (68598)         2105.5              .              .         [2.04]              .              .              .              .              .     HH    EST     HH     HH     HH     HH     HH     HH     HH     HH
                            Q ^2 Pi5p-pi      Q      1      1      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                            Q ^2 Pi5p-pi      Q      1      1      .      .              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                          O' ^2 Pi 4d-pi     O'      1      1      .      .        (67762)         (2371)           (16)              .        [2.022]              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                  O ^2 Sigma^+  4d-sigma      O      0      1      +      .        (67757)         (2371)           (16)              .        [1.990]              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                                      4f     4f      .      1      .      .          67596           2381           18.5              .        [1.988]              .              .              .              .       [1.0657]     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                      N ^2 Delta4d-delta      N      2      1      .      .          67374           2375             15              .          1.969          0.026              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                   S ^2 Sigma^+ 5s-sigma      S      0      1      +      .          66900           2378           16.5              .          1.980          0.020              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                   M ^2 Sigma^+ 4p-sigma      M      0      1      +      .          64437           2352           19.5              .          2.022          0.018              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                            K ^2 Pi4p-pi      K      1      1      .      .              .              .              .              .        [1.895]              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                            K ^2 Pi4p-pi      K      1      1      .      .              .              .              .              .        [1.895]              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                            I ^2 Sigma^+      I      0      2      +      .        (63500)         2105.5              .              .          1.847              .              .              .              .              .     HH    EST     HH     HH    EST     HH     HH     HH     HH     HH
                            G ^2 Sigma^-      G      0      1      -      .        62913.0        1085.54         11.083        -0.1439         1.2523         0.0204              .              .              .         1.3427     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
