        D0        I1        I2
 5.0310000       0.5       0.5
                                   label   name Lambda   2S+1    +/-    u/g             Te             we            wxe            wye             Be           alfe           game             De           bete             re   references
                                                                                    [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]           [AA]             
                    V_5  (^1 Sigma_u ^+)    V_5      0      1      +      u         114085          [789]              .              .          0.264              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
  ... 4-sigma_u ^2  5-sigma_g  2-pi_u ^4...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g  2-pi_u ^4 ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g  2-pi_u ^4 ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g  2-pi_u ^4 ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g  2-pi_u ^4 ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g ^2  2-pi_u ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g ^2  2-pi_u ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g ^2  2-pi_u ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g ^2  2-pi_u ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
 ... 4-sigma_u ^2  5-sigma_g ^2  2-pi_u ...4-si      .      1      .      u              .              .              .              .              .              .              .              .              .              .     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                                       U      U      .      .      .      .          83362          [551]              .              .          0.264              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                    G_6  (^1 Sigma_u ^+)    G_6      0      1      +      u          81327          [723]              .              .          0.264              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                       T      T      .      .      .      .          80992        [713.1]              .              .          0.264              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                         S ^1 Sigma_u ^+      S      0      1      +      u        (80840)          621.3              .              .         0.2783              .              .              .              .          1.978     HH    EST     HH     HH     HH     HH     HH     HH     HH     HH
                          R_4  (^1 Pi_u)    R_4      1      1      .      u          80115          [740]              .              .          0.264              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                             Q (^1 Pi_u)      Q      1      1      .      u        (79860)        [617.6]              .              .          0.264              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                    P_4  (^1 Sigma_u ^+)    P_4      0      1      +      u        (79827)          621.3              .              .          0.264              .              .              .              .              .     HH    EST     HH     HH    EST     HH     HH     HH     HH     HH
                    M_4  (^1 Sigma_u ^+)    M_4      0      1      +      u        (78271)          (705)            (5)              .          0.264              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                          H_5  (^1 Pi_u)    H_5      1      1      .      u        (78256)          621.3              .              .          0.264              .              .              .              .              .     HH    EST     HH     HH    EST     HH     HH     HH     HH     HH
                          K_4  (^1 Pi_u)    K_4      1      1      .      u        (77968)          [732]              .              .          0.264              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                       O      O      .      .      .      .          77475            529              2              .          0.264              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                         N ^1 Sigma_u ^+      N      0      1      +      u        77286.7       [641.76]         (29.7)              .         0.2984        0.00504              .       [3.1E-7]              .         1.9099     HH     HH     HH     HH     HH     HH     HH     HH     HH     HH
                             L (^1 Pi_u)      L      1      1      .      u          73593        [672.2]              .              .          0.264              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                          E_5  (^1 Pi_u)    E_5      1      1      .      u          73385            685            2.7              .          0.264              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
