        D0        I1        I2
 3.6900000       2.5       1.5
                                   label   name Lambda   2S+1    +/-    u/g             Te             we            wxe            wye             Be           alfe           game             De           bete             re   references
                                                                                    [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]         [cm-1]           [AA]             
                                       E      E      .      .      .      .        (47358)        [(446)]              .              .          0.112              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                       D      D      .      .      .      .        (45216)          [436]              .              .          0.112              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                       C      C      .      .      .      .        (43069)            444              3              .          0.112              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                       B      B      .      .      .      .        (41616)            448              4              .          0.112              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                     A_2    A_2      .      .      .      .        (25906)          240.9           0.85              .          0.112              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                     A_1    A_1      .      .      .      .        (22178)          237.5            1.5              .          0.112              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                                   b 0^+     b0      .      1      .      .        12148.7          382.1            0.6              .          0.112              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                     X_2  (^3 Sigma^-) 1    X_2      0      3      -      .          816.3          374.7            0.6              .          0.112              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
                   X_1  (^3 Sigma^-) 0^+    X_1      0      3      -      .              0          374.7            0.6              .          0.112              .              .              .              .              .     HH     HH     HH     HH    EST     HH     HH     HH     HH     HH
END
