# Atom.Num.  Elem.    IE1          IE2        IE3 
#                      [eV]         [eV]       [eV]
      1        H      13.5984      -1.000      -1.000
      2       He      24.5874      54.418      -1.000
      3       Li       5.3917      75.640     122.454
      4       Be       9.3227      18.211     153.896
      5        B       8.2980      25.155      37.931
      6        C      11.2603      24.385      47.888
      7        N      14.5341      29.601      47.445
      8        O      13.6181      35.121      54.936
      9        F      17.4228      34.971      62.708
     10       Ne      21.5645      40.963      63.423
     11       Na       5.1391      47.286      71.620
     12       Mg       7.6462      15.035      80.144
     13       Al       5.9858      18.829      28.448
     14       Si       8.1517      16.346      33.493
     15        P      10.4867      19.769      30.203
     16        S      10.3600      23.338      34.856
     17       Cl      12.9676      23.814      39.800
     18       Ar      15.7596      27.630      40.735
     19        K       4.3407      31.625      45.803
     20       Ca       6.1132      11.872      50.913
     21       Sc       6.5615      12.800      24.757
     22       Ti       6.8281      13.575      27.492
     23        V       6.7462      14.620      29.311
     24       Cr       6.7665      16.486      30.960
     25       Mn       7.4340      15.640      33.668
     26       Fe       7.9025      16.199      30.651
     27       Co       7.8810      17.084      33.500
     28       Ni       7.6399      18.169      35.190
     29       Cu       7.7264      20.292      36.841
     30       Zn       9.3942      17.964      39.723
     31       Ga       5.9993      20.515      30.726
     32       Ge       7.8994      15.935      34.058
     33       As       9.7890      18.589      28.349
     34       Se       9.7524      21.196      31.697
     35       Br      11.8138      21.591      35.000
     36       Kr      13.9996      24.360      35.670
     37       Rb       4.1771      27.290      39.247
     38       Sr       5.6949      11.030      42.884
     39        Y       6.2173      12.224      20.524
     40       Zr       6.6339      13.130      23.170
     41       Nb       6.7589      14.320      25.000
     42       Mo       7.0924      16.160      27.130
     43       Tc       7.1194      15.260      29.550
     44       Ru       7.3605      16.760      28.470
     45       Rh       7.4589      18.080      31.060
     46       Pd       8.3369      19.430      32.930
     47       Ag       7.5762      21.484      34.830
     48       Cd       8.9938      16.908      37.470
     49       In       5.7864      18.870      28.044
     50       Sn       7.3439      14.632      30.503
     51       Sb       8.6084      16.630      25.323
     52       Te       9.0097      19.000      27.838
     53        I      10.4513      19.131      29.570
     54       Xe      12.1298      20.975      31.050
     55       Cs       3.8939      23.157      33.195
     56       Ba       5.2117      10.004      35.840
     57       La       5.5769      11.185      19.177
     58       Ce       5.5386      10.850      20.197
     59       Pr       5.4730      10.550      21.624
     60       Nd       5.5250      10.720      22.140
     61       Pm       5.5820      10.900      22.000
     62       Sm       5.6437      11.070      23.400
     63       Eu       5.6704      11.241      24.900
     64       Gd       6.1498      12.090      20.630
     65       Tb       5.8638      11.520      21.910
     66       Dy       5.9391      11.670      22.930
     67       Ho       6.0215      11.800      22.840
     68       Er       6.1077      11.930      22.740
     69       Tm       6.1843      12.050      23.700
     70       Yb       6.2542      12.179      25.053
     71       Lu       5.4259      13.900      20.955
     72       Hf       6.8251      15.000      23.280
     73       Ta       7.5496      16.200      23.100
     74        W       7.8640      16.400      26.020
     75       Re       7.8335      16.600      27.000
     76       Os       8.4382      17.000      25.000
     77       Ir       8.9670      17.000      28.000
     78       Pt       8.9588      18.560      29.000
     79       Au       9.2256      20.203      30.000
     80       Hg      10.4375      18.757      34.460
     81       Tl       6.1083      20.428      29.852
     82       Pb       7.4167      15.032      31.937
     83       Bi       7.2855      16.703      25.563
     84       Po       8.4140      19.300      27.000
     85       At       9.3175      17.880      26.580
     86       Rn      10.7485      21.400      29.400
     87       Fr       4.0727      22.400      33.000
     88       Ra       5.2784      10.147      31.000
     89       Ac       5.3802      11.750      17.431
     90       Th       6.3067      11.900      18.320
     91       Pa       5.8900      11.900      19.000
     92        U       6.1940      11.590      19.800
